2024-07-01 12:44:58,974 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Current SDK version is 0.17.3
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Configure stats pid to 10232
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Loading settings from /Users/jeff/.config/wandb/settings
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Loading settings from /Users/jeff/Documents/DevPython/Weave01/wandb/settings
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'sample.py', 'program_abspath': '/Users/jeff/Documents/DevPython/Weave01/sample.py', 'program': '/Users/jeff/Documents/DevPython/Weave01/sample.py'}
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:_log_setup():520] Logging user logs to /Users/jeff/Documents/DevPython/Weave01/wandb/run-20240701_124458-g0oddm4t/logs/debug.log
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:_log_setup():521] Logging internal logs to /Users/jeff/Documents/DevPython/Weave01/wandb/run-20240701_124458-g0oddm4t/logs/debug-internal.log
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:init():560] calling init triggers
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:init():567] wandb.init called with sweep_config: {}
config: {'learning_rate': 0.02, 'architecture': 'CNN', 'dataset': 'CIFAR-100', 'epochs': 10}
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:init():610] starting backend
2024-07-01 12:44:58,975 INFO    MainThread:10232 [wandb_init.py:init():614] setting up manager
2024-07-01 12:44:58,978 INFO    MainThread:10232 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-01 12:44:58,979 INFO    MainThread:10232 [wandb_init.py:init():622] backend started and connected
2024-07-01 12:44:58,982 INFO    MainThread:10232 [wandb_init.py:init():711] updated telemetry
2024-07-01 12:44:58,983 INFO    MainThread:10232 [wandb_init.py:init():744] communicating run to backend with 90.0 second timeout
2024-07-01 12:44:59,213 INFO    MainThread:10232 [wandb_run.py:_on_init():2402] communicating current version
2024-07-01 12:44:59,259 INFO    MainThread:10232 [wandb_run.py:_on_init():2411] got version response 
2024-07-01 12:44:59,259 INFO    MainThread:10232 [wandb_init.py:init():795] starting run threads in backend
2024-07-01 12:44:59,381 INFO    MainThread:10232 [wandb_run.py:_console_start():2380] atexit reg
2024-07-01 12:44:59,382 INFO    MainThread:10232 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-01 12:44:59,382 INFO    MainThread:10232 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-01 12:44:59,382 INFO    MainThread:10232 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-01 12:44:59,383 INFO    MainThread:10232 [wandb_init.py:init():838] run started, returning control to user process
2024-07-01 12:44:59,385 INFO    MainThread:10232 [wandb_run.py:_finish():2109] finishing run aisera/ALPHA/g0oddm4t
2024-07-01 12:44:59,385 INFO    MainThread:10232 [wandb_run.py:_atexit_cleanup():2349] got exitcode: 0
2024-07-01 12:44:59,385 INFO    MainThread:10232 [wandb_run.py:_restore():2332] restore
2024-07-01 12:44:59,385 INFO    MainThread:10232 [wandb_run.py:_restore():2338] restore done
2024-07-01 12:45:02,083 INFO    MainThread:10232 [wandb_run.py:_footer_history_summary_info():3991] rendering history
2024-07-01 12:45:02,084 INFO    MainThread:10232 [wandb_run.py:_footer_history_summary_info():4023] rendering summary
2024-07-01 12:45:02,094 INFO    MainThread:10232 [wandb_run.py:_footer_sync_info():3950] logging synced files
